rank,type,m,k,n,count,total_ms,mean_us,p50_us,p99_us,operations,modeled_bytes,effective_tops,compute_util_pct,modeled_mbu_pct,roofline_lower_ms,ideal_speedup,duration_weighted_aic_mac_ratio,duration_weighted_cube_utilization(%)
rank0,QuantBatchMatmulV3,15912,5120,17408,67,386.597624,5770.113791044776,5764.981,5858.0422,190041481543680,48554166752,491.5743650397603,43.890568307121455,3.9247983350254634,169.67989423542852,2.27839382940445,0.7407284681216769,95.97244863680798
rank0,QuantBatchMatmulV3,15900,5120,17408,67,386.339827,5766.266074626866,5758.401,5863.77246,189898162176000,48522054992,491.53141587962654,43.886733560680945,3.9248198413155055,169.5519305142859,2.278592911494147,0.7407861714241539,95.92210043704864
rank0,QuantBatchMatmulV3,15364,5120,17408,67,303.06235300000003,4523.318701492537,4522.602,4538.7342,183496563752960,47087729712,605.474622421875,54.060234144810266,4.8554085947455174,163.83621763657146,1.8497885105738094,0.8817296294700121,99.38769716569844
rank0,QuantBatchMatmulV3,15392,5120,17408,67,302.992033,4522.2691492537315,4523.102,4535.709,183830975610880,47162657152,606.7188427059401,54.17132524160179,4.864263331966884,164.13479965257116,1.8459950823430005,0.8825510457926794,99.42797053148918
rank0,QuantBatchMatmulV3,14868,5120,17408,67,293.951294,4387.332746268657,4387.491,4396.9284,177572696555520,45760443632,604.0888411789742,53.93650367669414,4.864798667972525,158.5470504960001,1.8540319298302932,0.8798345755368573,99.3862399126979
rank0,QuantBatchMatmulV3,14852,5120,17408,67,293.938321,4387.139119402985,4387.291,4397.7696,177381604065280,45717627952,603.4653918611723,53.880838559033236,4.860461435036911,158.37643220114305,1.855947358548203,0.8791779494617173,99.3492986692096
rank0,QuantBatchMatmulV3,14860,5120,17408,67,293.81958199999997,4385.366895522388,4385.531,4395.3027999999995,177477150310400,45739035792,604.0344523749272,53.93164753347564,4.864702545591397,158.46174134857156,1.854198871598154,0.8795363728718395,99.34974184923794
rank0,QuantBatchMatmulV3,11820,5120,17408,67,234.09598499999998,3493.969925373134,3494.02,3504.501,141169577164800,37604056592,603.0414283474363,53.842984673878235,5.019850163171316,126.04426532571443,1.8572521676814582,0.8791772749071285,99.2323201902288
rank0,QuantBatchMatmulV3,15900,8704,5120,67,174.819476,2609.245910447761,2607.589,2642.904,94949081088000,23171810640,543.1264482682697,48.4934328810955,4.1420961729687376,84.77596525714296,2.0621348924749667,0.8043689960894288,97.53804358329046
rank0,QuantBatchMatmulV3,15912,8704,5120,67,174.643418,2606.618179104478,2604.229,2636.7294,95020740771840,23187044832,544.0842939287869,48.57895481507026,4.148997765263619,84.83994711771426,2.058504559858868,0.8045789719770602,97.70965927000466
rank0,QuantBatchMatmulV3,14868,8704,5120,67,164.059152,2448.6440597014926,2448.316,2476.9019399999997,88786348277760,21861670128,541.184976244178,48.32008716465875,4.164212621920659,79.27352524800006,2.0695326906020113,0.8023102236746903,97.54913528651544
rank0,QuantBatchMatmulV3,14852,8704,5120,67,163.885179,2446.0474477611942,2445.956,2468.6036,88690802032640,21841357872,541.1764661930778,48.31932733866766,4.164759971980138,79.18821610057152,2.0695652341992483,0.8028627802822853,97.49574656661297
rank0,QuantBatchMatmulV3,14860,8704,5120,67,163.80295199999998,2444.8201791044776,2444.675,2464.4217399999998,88738575155200,21851514000,541.739779849633,48.36962320086009,4.168788194366607,79.23087067428578,2.067413252006101,0.8031178314906073,97.51237146130923
rank0,QuantBatchMatmulV3,15364,8704,5120,67,148.992568,2223.769671641791,2223.338,2234.0978,91748281876480,22491350064,615.7909962091533,54.981338947245824,4.717380866272471,81.91810881828573,1.818798921866003,0.8999088952410029,98.98178270678575
rank0,QuantBatchMatmulV3,15392,8704,5120,67,148.753186,2220.196805970149,2219.738,2227.62514,91915487805440,22526896512,617.9060111387463,55.17017956595949,4.732439922328789,82.06739982628558,1.8125734008250551,0.9016106189214662,99.06741968522945
rank0,QuantBatchMatmulV3,11820,8704,5120,67,130.501365,1947.7815671641793,1946.776,1969.3548,70584788582400,17992185360,540.873948578239,48.29231683734278,4.308428440576082,63.02213266285722,2.0707227681127396,0.8059080518429829,97.0108056296806
rank0,QuantBatchMatmulV3,6144,5120,17408,67,119.979884,1790.7445373134328,1790.303,1804.03634,73379516252160,22415194112,611.5984930620536,54.60700830911193,5.838268821796827,65.51742522514286,1.8312667750251688,0.8872361301416161,98.64099702488463
rank0,QuantBatchMatmulV3,15912,5120,8192,48,106.293386,2214.4455416666665,2214.307,2220.9498,64070174638080,18441346560,602.7672750784324,53.81850670343147,5.421711563502173,57.20551306971433,1.858096891298991,0.8789156766348567,99.21545632775307
rank0,QuantBatchMatmulV3,15900,5120,8192,48,106.27222599999999,2214.0047083333334,2213.8675000000003,2221.8255999999997,64021856256000,18428957952,602.4326267147168,53.78862738524256,5.4191481413026965,57.162371657142906,1.8591290549912025,0.8786655545542071,99.19101816914046
