rank,type,m,k,n,count,total_ms,mean_us,p50_us,p99_us,operations,modeled_bytes,effective_tops,compute_util_pct,modeled_mbu_pct,roofline_lower_ms,ideal_speedup,duration_weighted_aic_mac_ratio,duration_weighted_cube_utilization(%)
rank0,QuantBatchMatmulV3,16384,5120,17408,67,322.43372800000003,4812.443701492537,4812.146,4827.66714,195678710005760,49817229312,606.8804005695087,54.18575005084899,4.828243080078768,174.71313393371435,1.8455036592860297,0.8797596228301525,99.6725876842698
rank0,QuantBatchMatmulV3,12288,5120,17408,67,238.122762,3554.0710746268655,3551.444,3589.356,146759032504320,38856415232,616.3166900622462,55.02827589841483,5.099315016344384,131.03485045028572,1.817247558048255,0.8946712227451822,98.56507082864259
rank0,QuantBatchMatmulV3,16384,8704,5120,67,156.956142,2342.6289850746266,2342.388,2349.8084,97839355002880,23786256384,623.3547394588738,55.65667316597088,4.735848514931006,87.35656696685717,1.7967297416752732,0.9069547923330074,99.25229717401567
rank0,QuantBatchMatmulV3,12288,8704,5120,67,117.575694,1754.861104477612,1754.04,1775.2504,73379516252160,18586318848,624.1044705392936,55.723613441008354,4.939987545385018,65.51742522514286,1.7945713464160882,0.9051702890565121,98.37680187995318
rank0,QuantBatchMatmulV3,16384,5120,8192,48,108.810569,2266.8868541666666,2267.1615,2271.201,65970697666560,18928631808,606.2894282499341,54.132984665172685,5.436234268750125,58.90240863085714,1.8473025387114226,0.8809995005172705,99.44770650374964
rank0,QuantBatchMatmulV3,2048,5120,17408,134,84.10583,627.6554477611941,629.451,640.5957999999999,48919677501440,22908760064,581.6443105244905,51.93252772540094,8.511880234699547,43.67828348342854,1.9255754414412736,0.8525171586797254,97.66498677866922
rank0,QuantBatchMatmulV3,12288,5120,8192,48,81.98939999999999,1708.1125,1708.257,1725.3228,49478023249920,14699986944,603.468536785487,53.88111935584705,5.602853442030312,44.1768064731429,1.8559376864383597,0.8889355067972202,97.2556656295936
rank0,MatMulV3,16384,3072,5120,48,78.133178,1627.7745416666667,1627.83,1636.395,24739011624960,14394851328,316.6262048749636,56.540393727672075,5.7573378622843165,44.1768064731429,1.7686470398782839,0.9231454184930248,98.53978374770574
rank0,MatMulV3,12288,3072,5120,48,57.887001,1205.9791874999999,1206.467,1212.4088,18554258718720,11173625856,320.52547891917914,57.23669266413913,6.0320244954476046,33.13260485485716,1.7471309984102834,0.9371865065872043,97.18828026385404
rank0,QuantBatchMatmulV3,2048,8704,5120,134,42.969653,320.66905223880593,320.296,327.5602,24459838750720,11172950016,569.2351937475502,50.82457087031697,8.125611067885513,21.83914174171427,1.9675522741777438,0.8704763966094861,93.37043121132487
rank0,QuantBatchMatmulV3,16384,5120,7168,19,37.71706,1985.1084210526315,1985.619,1988.8822,22849226014720,6755395584,605.8061263184353,54.08983270700315,5.597098819473205,20.401094656000005,1.8487762855856036,0.8826835110159701,99.175876954646
rank0,QuantBatchMatmulV3,2048,5120,8192,96,28.866896,300.69683333333336,300.414,305.219,16492674416640,8256749568,571.335221377456,51.01207333727287,8.938384785118567,14.725602157714322,1.9603202429910453,0.854287735023537,95.66850979997989
rank0,QuantBatchMatmulV3,12288,5120,7168,19,27.940116999999997,1470.5324736842103,1469.338,1491.03502,17136919511040,5240940544,613.3445866042724,54.7629095182386,5.861800507134598,15.300820991999995,1.8260534525963303,0.8901522414526754,98.53632213157876
rank0,MatMulV3,2048,3072,5120,96,24.203688,252.12175,252.4005,255.858,6184752906240,6241124352,255.5293600809926,45.63024287160582,8.05807511648638,11.04420161828573,2.191528988381224,0.7681141173196415,94.51092380636372
rank0,QuantBatchMatmulV3,16384,3072,5120,19,16.931995999999998,891.1576842105263,890.951,895.4487799999999,9792525434880,4444256256,578.344421701966,51.63789479481839,8.202400236806104,8.743326281142858,1.9365622939770677,0.8443135342106153,98.97197786096808
rank0,MatMulV2,16384,5120,48,48,13.73134,286.06958333333336,285.873,292.52160000000003,386547056640,8152154112,28.150716291345198,5.0269136234545,18.552800819148022,2.5475481599999994,5.390021753308091,0.10962153030949638,88.56935548569913
rank0,QuantBatchMatmulV3,12288,3072,5120,19,12.69346,668.0768421052632,668.573,678.71298,7344394076160,3407951872,578.5967006757811,51.660419703194734,8.390028881014318,6.557494710857141,1.935717916628074,0.8485206440166826,97.57891966485103
rank0,QuantBatchMatmulV3,2048,5120,7168,38,10.124848,266.44336842105264,266.5315,269.75876999999997,5712306503680,2909605888,564.1868898851618,50.37382945403229,8.980399903287436,5.100273663999999,1.9851577909369222,0.8455608381478911,95.47052182985857
rank0,MatMulV2,12288,5120,48,48,9.763659,203.4095625,203.5265,205.85913,289910292480,6120013824,29.692791655259565,5.302284224153493,19.587987659134757,1.91250432,5.105169644793273,0.10099731606767504,98.2551100103967
